features,importance
Treat_No,0.09982229419846239
Leave_Don't know * Treat_No,0.08086093289669556
Leave_Don't know + Leave_Very easy,0.047484927846170276
MentvsPhys_Don't know * Treat_No,0.04669279478637064
Leave_Don't know * MentvsPhys_Don't know,0.037837285530777906
support_available * Treat_No,0.034453210812087305
Leave_Don't know + Leave_Somewhat easy,0.033664814141490515
Leave_Somewhat easy + Leave_Very easy,0.031932728040938815
Age * Treat_No,0.0303903471063151
Leave_Don't know * support_available,0.02944297508477604
Anonymity_Don't know - Leave_Don't know,0.029173789317711567
disc_MH_atwork + Leave_Don't know,0.027149152628370546
FamHist_Yes * Leave_Don't know,0.02223152960963014
MentvsPhys_Yes * Treat_No,0.02008547380136174
PhysInt_Maybe * Treat_No,0.018699421067377046
Leave_Don't know * PhysInt_Maybe,0.017723216133216736
Leave_Somewhat easy * Treat_No,0.015145771499283082
Continent_Americas * Treat_No,0.013425376642491391
disc_MH_atwork * Treat_No,0.012495584393478414
Anonymity_Don't know * MentvsPhys_Yes,0.009232811298545477
MentInt_No * MentvsPhys_Yes,0.009062803910914874
MentvsPhys_Yes * PhysInt_Maybe,0.00904876342978251
FamHist_Yes,0.008848680219676957
Leave_Somewhat easy * support_available,0.006857238943714975
Continent_Americas * MentvsPhys_Yes,0.006734675277699312
Leave_Very easy * Treat_No,0.006711297966075888
Leave_Don't know * MentvsPhys_No,0.00671020627983035
Anonymity_Don't know * MentInt_No,0.00653327362235799
Age * Leave_Somewhat easy,0.0061067733112612245
Anonymity_Don't know * Treat_No,0.005954719314309525
Anonymity_Don't know,0.00592197492672687
Leave_Somewhat easy * MentvsPhys_Don't know,0.005859889047421706
Continent_Americas * Leave_Don't know,0.005730925887303318
Leave_Very easy + MentInt_No,0.005728337453894629
Leave_Don't know * PhysCons_No,0.005646122587525084
Leave_Very easy - ObsCons_No,0.0056293950656121396
PhysCons_No * Treat_No,0.005522982428173519
MentvsPhys_No * Treat_No,0.005303353656980774
Leave_Very easy + SelfEmp_No,0.004913863101334549
Age * Anonymity_Don't know,0.004783934352349177
Gen_male * Leave_Don't know,0.0046232638313929006
MentvsPhys_Don't know * support_available,0.004611432255993725
Anonymity_Don't know * Leave_Very easy,0.004475997343963958
MentvsPhys_Yes * support_available,0.0044318069407036234
Leave_Don't know * MentvsPhys_Yes,0.004383407565123952
Age * MentvsPhys_Yes,0.004356316063300976
Age - support_available,0.004336565610725705
Leave_Don't know * Remote_No,0.004239719706073393
Age * support_available,0.004098246789885169
Remote_No * Treat_No,0.003911513673949696
Leave_Very easy * support_available,0.0037495501274322166
Anonymity_Don't know * support_available,0.0037048385087122744
Anonymity_Don't know * Leave_Don't know,0.0036458032636509756
Age * FamHist_Yes,0.0036381094596865298
Leave_Very easy * PhysInt_Maybe,0.0035768385759063796
FamHist_Yes * Leave_Somewhat easy,0.0033827618089595727
